grid_cell,total_complaints,total_nuisance,total_chronic_locations,days_since_last_complaint,complaint_years_active,most_common_dept,avg_resolution_days,nuisance_rate,pct_call_center,complaint_count_30d,nuisance_count_30d,chronic_loc_count_30d,complaint_count_60d,nuisance_count_60d,chronic_loc_count_60d,complaint_count_90d,nuisance_count_90d,chronic_loc_count_90d,total_violations,open_violations,env_violations,chronic_parcels,unique_parcels,violation_years_active,lien_filed_count,avg_lien_status,open_violation_rate,env_violation_rate,chronic_parcel_rate,dist_to_nearest_siren_km,siren_coverage_gap,target_nuisance_binary,target_nuisance_count,target_any_complaint,cell_lat,cell_lon
32.3950_-86.2550,281.0,157.0,191.0,0.0,6.0,2.0,19.44609665427509,0.5587,0.6512455516014235,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,153.0,21.0,142.0,105.0,56.0,6.0,3.0,0.09803921568627451,0.1373,0.9281,1.875,1.025,0,1.0,2.0,1.0,32.395,-86.255
32.3950_-86.2600,249.0,69.0,186.0,0.0,6.0,0.0,24.11637931034483,0.2771,0.7991967871485943,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,55.0,8.0,53.0,22.0,33.0,6.0,1.0,0.03636363636363636,0.1455,0.9636,0.6667,1.4539,0,1.0,1.0,1.0,32.395,-86.26
32.3950_-86.2650,111.0,39.0,57.0,0.0,6.0,2.0,15.474226804123711,0.3514,0.8918918918918919,3.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,60.0,17.0,51.0,40.0,21.0,6.0,3.0,0.13333333333333333,0.2833,0.85,1.9048,1.3505,0,0.0,0.0,1.0,32.395,-86.265
32.3950_-86.2700,160.0,81.0,122.0,0.0,6.0,2.0,5.259740259740259,0.5062,0.73125,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,82.0,16.0,70.0,51.0,33.0,6.0,5.0,0.2073170731707317,0.1951,0.8537,1.5455,0.9233,0,1.0,2.0,1.0,32.395,-86.27
32.3950_-86.2750,233.0,79.0,143.0,30.0,6.0,2.0,16.295454545454547,0.3391,0.7339055793991416,2.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,127.0,60.0,116.0,79.0,53.0,6.0,19.0,0.3779527559055118,0.4724,0.9134,1.4906,0.5675,0,0.0,0.0,1.0,32.395,-86.275
32.3950_-86.2800,117.0,59.0,59.0,303.0,6.0,2.0,8.714285714285714,0.5043,0.8034188034188035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,32.0,117.0,76.0,53.0,6.0,5.0,0.15748031496062992,0.252,0.9213,1.434,0.4821,0,0.0,0.0,0.0,32.395,-86.28
32.3950_-86.2850,5.0,1.0,0.0,456.0,4.0,14.0,2.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,4.0,2.0,0.0,0.0,0.4,1.0,0.0,0.7638,0,0.0,0.0,0.0,32.395,-86.285
32.3950_-86.2900,41.0,21.0,31.0,30.0,6.0,2.0,24.07894736842105,0.5122,0.9512195121951219,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,46.0,33.0,44.0,43.0,9.0,6.0,23.0,1.065217391304348,0.7174,0.9565,4.7778,1.1727,0,1.0,1.0,1.0,32.395,-86.29
32.3950_-86.2950,243.0,90.0,161.0,456.0,5.0,0.0,8.317596566523605,0.3704,0.934156378600823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,305.0,515.0,445.0,131.0,6.0,194.0,0.8057142857142857,0.581,0.981,3.3969,1.5604,0,0.0,0.0,0.0,32.395,-86.295
32.3950_-86.3000,136.0,79.0,82.0,0.0,6.0,2.0,11.46774193548387,0.5809,0.9632352941176471,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,332.0,178.0,322.0,257.0,99.0,6.0,99.0,0.6566265060240963,0.5361,0.9699,2.596,1.7238,0,0.0,0.0,1.0,32.395,-86.3
